01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,745,1,7575976,0,0,255850,2916339,20
2,apalache,NoError,703,1,7328636,0,0,242262,2881034,21
3,apalache,NoError,593,1,8040896,0,0,227457,2854217,21
4,apalache,NoError,1420,1,10484644,0,0,346159,4446361,21
5,apalache,NoError,1401,1,11135196,0,0,329305,4393688,21
6,apalache,NoError,3481,1,13823704,0,0,561290,9239413,20
7,apalache,NoError,3461,1,13866816,0,0,531012,9216485,21
8,apalache,NoError,3171,1,13627120,0,0,508797,9012976,21
9,apalache,NoError,10993,1,17585212,0,0,999840,20562209,20
10,apalache,NoError,9766,1,17456608,0,0,938833,20059531,20
11,apalache,NoError,295,0,4634444,0,0,148963,2161260,17
12,apalache,NoError,439,0,8616344,0,0,1019658,4179230,13
13,apalache,NoError,410,0,8625148,0,0,1008704,4133605,13
14,apalache,NoError,483,0,7152440,0,0,212357,3324811,17
15,apalache,NoError,758,0,13256700,0,0,1571212,6464897,13
16,apalache,NoError,1183,0,13292156,0,0,374517,7397022,16
17,apalache,NoError,1732,0,19419708,0,0,3034896,13545586,13
18,apalache,NoError,1975,0,20509864,0,0,3010964,13451475,13
19,apalache,NoError,3205,0,16831228,0,0,734069,17072460,16
20,apalache,NoError,4561,0,29809472,0,0,6158724,29595562,13
21,apalache,NoError,10,0,657616,0,0,3478,19896,27
22,apalache,NoError,13,0,701208,0,0,5899,37943,29
23,apalache,Error,18,0,991180,0,0,7572,54445,30
24,apalache,NoError,10,0,624420,0,0,3627,22678,29
25,apalache,NoError,15,0,977908,0,0,6038,42659,31
26,apalache,NoError,18,0,972612,0,0,6366,52286,34
27,apalache,NoError,23,0,1152052,0,0,8739,76788,34
28,apalache,NoError,30,0,1257044,0,0,10931,100893,34
29,apalache,NoError,30,0,1337804,0,0,9156,97270,37
30,apalache,NoError,39,0,1511844,0,0,11475,128242,37
