01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,765,1,7449524,0,0,255850,2916339,20
2,apalache,NoError,712,1,7953452,0,0,242262,2881034,21
3,apalache,NoError,573,1,8108036,0,0,227457,2854217,21
4,apalache,NoError,1611,1,11197492,0,0,346159,4446361,21
5,apalache,NoError,1294,1,11006544,0,0,329305,4393688,21
6,apalache,NoError,3366,1,13817260,0,0,561290,9239413,20
7,apalache,NoError,3190,1,13851528,0,0,531012,9216485,21
8,apalache,NoError,3052,1,13713040,0,0,508797,9012976,21
9,apalache,NoError,9752,1,17815528,0,0,999840,20562209,20
10,apalache,NoError,11005,1,17483056,0,0,938833,20059531,20
11,apalache,NoError,295,0,5232284,0,0,148963,2161260,17
12,apalache,NoError,441,0,9130148,0,0,1019658,4179230,13
13,apalache,NoError,412,0,8666908,0,0,1008704,4133605,13
14,apalache,NoError,484,0,7093124,0,0,212357,3324811,17
15,apalache,NoError,768,0,13713572,0,0,1571212,6464897,13
16,apalache,NoError,1219,0,13155580,0,0,374517,7397022,16
17,apalache,NoError,1732,0,19315084,0,0,3034896,13545586,13
18,apalache,NoError,1943,0,21061592,0,0,3010964,13451475,13
19,apalache,NoError,3210,0,17087572,0,0,734069,17072460,16
20,apalache,NoError,4591,0,29649044,0,0,6158724,29595562,13
21,apalache,NoError,10,0,637636,0,0,3478,19896,27
22,apalache,NoError,13,0,796672,0,0,5899,37943,29
23,apalache,Error,18,0,910176,0,0,7572,54445,30
24,apalache,NoError,10,0,667284,0,0,3627,22678,29
25,apalache,NoError,15,0,952296,0,0,6038,42659,31
26,apalache,NoError,18,0,952360,0,0,6366,52286,34
27,apalache,NoError,24,0,1094008,0,0,8739,76788,34
28,apalache,NoError,30,0,1347008,0,0,10931,100893,34
29,apalache,NoError,32,0,1211532,0,0,9156,97270,37
30,apalache,NoError,39,0,1603728,0,0,11475,128242,37
